population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-0	-12	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-2	-37	0	0	0	0	8	0	0	0	0	0	0
holistic	h0-3	-45	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-4	-17	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-5	-32	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-6	-26	4.453283	18.713800	4	41	7	0	7.338631	0	11.375169	0	0
holistic	h0-7	-33	12.683250	29.607409	7	12	8	2.275513	0	0	27.331896	0	0
holistic	h0-8	-8	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-9	-40	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-11	-20	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-12	-45	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-13	-50	0	3.739590	0	10	6	0	0	3.739590	0	0	0
holistic	h0-14	-6	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-15	-49	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-16	-11	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-17	-59	1.849902	2.008592	2	2	10	2.008592	0	0	0	0	0.333839
holistic	h0-18	-54	0	0	0	0	0	0	0	0	0	4.437321	0
holistic	h0-19	-37	0	0	0	0	6	0	0	0	0	0	0
holistic	h0-20	-35	0	0	0	0	8	0	0	0	0	1.835144	0
holistic	h0-21	-42	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-22	-34	1.223758	7.257094	2	10	8	7.257094	0	0	0	0	0
holistic	h0-23	-21	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-24	-35	2.274810	4.207290	3	3	3	0	0	4.207290	0	0	0
holistic	h0-25	-35	0	1.799702	0	8	5	0	1.799702	0	0	0.878711	0
holistic	h0-26	-35	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-27	-16	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-28	-26	0	0	0	0	3	0	0	0	0	0.275299	0
holistic	h0-29	-29	0	0	0	0	0	0	0	0	0	1.473970	0
holistic	h0-30	-44	0	4.044274	0	10	12	0.785814	0	1.928196	1.330264	0	0
holistic	h0-31	-37	0	0	0	0	1	0	0	0	0	0.868353	0
holistic	h0-32	-49	2.181680	5.130421	2	12	8	0	2.510298	2.620123	0	0	1.105652
holistic	h0-33	-57	0.695220	5.859198	2	2	3	0	0	0	5.859198	0	3.848168
holistic	h0-34	-47	0	0	0	0	4	0	0	0	0	0	0
