population	name	generation	age	evals	fitness	parents
holistic	h0-0	4	59	5	0.0	
holistic	h0-1	10	54	11	-0.0048	
holistic	h0-2	6	59	7	-0.0	
holistic	h0-3	10	37	11	-0.0004	
holistic	h0-4	10	55	11	0.0	
holistic	h0-5	11	59	12	0.2104	
holistic	h0-6	10	35	11	-0.0157	
holistic	h0-7	10	57	11	0.0	
holistic	h0-8	12	19	13	0.0211	
holistic	h0-9	2	59	3	0.3238	
holistic	h0-10	10	47	11	-0.0081	
holistic	h0-11	10	32	11	0.0	
holistic	h0-12	10	14	11	-0.0001	
holistic	h0-13	5	53	6	-0.1714	
holistic	h0-14	10	21	11	-0.0017	
holistic	h0-15	8	59	9	-0.0038	
holistic	h0-16	10	44	11	-0.0002	
holistic	h0-17	10	54	11	0.0	
holistic	h0-18	4	41	5	-0.3	
holistic	h0-19	10	59	11	0.0	
holistic	h0-20	4	59	5	0.0	
holistic	h0-21	10	36	11	-0.0	
holistic	h0-22	10	15	11	-0.0	
holistic	h0-23	10	20	11	-0.001	
holistic	h0-24	10	23	11	-0.0052	
holistic	h0-25	10	31	11	0.0	
holistic	h0-26	10	27	11	-0.0012	
holistic	h0-27	10	24	11	0.0	
holistic	h0-28	54	59	55	0.7628	
holistic	h0-29	10	12	11	0.0	
holistic	h0-30	5	59	6	0.0	
holistic	h0-31	10	12	11	0.0	
holistic	h0-32	4	59	5	-0.0575	
holistic	h0-33	5	59	6	-0.0521	
holistic	h0-34	10	36	11	0.0	
holistic	h0-35	10	52	11	-0.0049	
holistic	h0-36	9	59	10	0.0	
holistic	h0-37	10	39	11	-0.0178	
holistic	h0-38	10	25	11	0.0	
holistic	h0-39	10	48	11	-0.0021	
holistic	h0-40	13	41	14	0.0436	
holistic	h0-41	10	45	11	0.0	
holistic	h0-42	10	35	11	0.0	
holistic	h0-43	3	59	4	0.0	
holistic	h0-44	10	20	11	-0.0074	
holistic	h0-45	10	49	11	-0.0018	
holistic	h0-46	10	26	11	-0.002	
holistic	h0-47	14	48	15	0.0667	
holistic	h0-48	4	59	5	-0.0004	
holistic	h0-49	9	20	10	-0.0261	
holistic	h0-50	3	59	4	-0.0003	
holistic	h0-51	10	51	11	0.0	
holistic	h0-52	14	37	15	0.0667	
holistic	h0-53	10	36	11	0.0	
holistic	h0-54	5	59	6	-0.0132	
holistic	h0-55	22	59	23	0.3555	
holistic	h0-56	10	28	11	0.0	
holistic	h0-57	9	45	10	-0.0467	
holistic	h0-58	10	28	11	0.0	
holistic	h0-59	10	52	11	-0.0001	
conventional	c0-0	1	59	2	-0.8825	
conventional	c0-1	37	59	38	0.7456	
conventional	c0-2	2	48	3	-0.7132	
conventional	c0-3	29	35	30	0.2888	
conventional	c0-4	18	44	19	0.1546	
conventional	c0-5	2	19	3	-0.5618	
conventional	c0-6	53	59	54	0.7293	
conventional	c0-7	4	59	5	0.5336	
conventional	c0-8	16	59	17	0.4683	
conventional	c0-9	9	59	10	-0.0266	
conventional	c0-10	3	39	4	-0.4423	
conventional	c0-11	1	45	2	-0.9067	
conventional	c0-12	15	59	16	0.8107	
conventional	c0-13	8	22	9	0.1301	
conventional	c0-14	8	59	9	0.1664	
conventional	c0-15	51	59	52	0.8158	
conventional	c0-16	21	59	22	0.3045	
conventional	c0-17	33	59	34	0.3327	
conventional	c0-18	8	54	9	-0.0647	
conventional	c0-19	5	33	6	-0.1581	
conventional	c0-20	4	23	5	-0.3264	
conventional	c0-21	0	59	1	-0.5611	
conventional	c0-22	2	59	3	1.5756	
conventional	c0-23	1	14	2	-0.919	
conventional	c0-24	10	59	11	0.447	
conventional	c0-25	5	45	6	-0.072	
conventional	c0-26	34	59	35	0.6178	
conventional	c0-27	4	59	5	1.1216	
conventional	c0-28	7	49	8	0.0322	
conventional	c0-29	9	47	10	0.0003	
conventional	c0-30	56	59	57	0.8476	
conventional	c0-31	1	53	2	-0.9089	
conventional	c0-32	3	47	4	-0.433	
conventional	c0-33	32	59	33	0.4133	
conventional	c0-34	2	18	3	-0.5615	
conventional	c0-35	14	59	15	0.5186	
conventional	c0-36	0	59	1	-0.4317	
conventional	c0-37	3	48	4	-0.4718	
conventional	c0-38	15	59	16	1.2127	
conventional	c0-39	30	59	31	1.0697	
conventional	c0-40	1	13	2	-0.8953	
conventional	c0-41	14	29	15	0.2701	
conventional	c0-42	4	27	5	-0.2015	
conventional	c0-43	26	59	27	0.3369	
conventional	c0-44	43	59	44	0.2927	
conventional	c0-45	15	59	16	0.763	
conventional	c0-46	2	59	3	-0.5921	
conventional	c0-47	1	42	2	-0.853	
conventional	c0-48	10	49	11	0.017	
conventional	c0-49	1	51	2	-0.7842	
conventional	c0-50	12	34	13	0.0586	
conventional	c0-51	4	46	5	-0.2889	
conventional	c0-52	8	39	9	-0.0765	
conventional	c0-53	2	58	3	-0.6721	
conventional	c0-54	47	59	48	0.4548	
conventional	c0-55	8	23	9	-0.0651	
conventional	c0-56	3	24	4	-0.3682	
conventional	c0-57	18	42	19	0.2283	
conventional	c0-58	7	59	8	0.8344	
conventional	c0-59	17	59	18	0.2059	
conventional	ce61	2	1	1	-0.4737	c0-28
conventional	ce62	60	59	59	1.1441	c0-15
conventional	ce63	61	59	59	0.4371	c0-44
conventional	ce64	2	0	0	0.0	c0-12
conventional	ce65	8	6	6	0.4399	c0-13
conventional	ce66	10	8	8	0.202	c0-26,c0-39
conventional	ce67	3	1	1	-0.5861	c0-58
conventional	ce68	2	0	0	0.0	c0-27
conventional	ce69	9	7	7	0.2669	c0-35
holistic	he61	6	3	3	0.0	h0-55
conventional	ce70	4	1	1	-0.679	ce65
conventional	ce71	5	2	2	-0.1325	c0-15,c0-59
conventional	ce72	23	20	20	0.3251	c0-8
conventional	ce73	3	0	0	0.0	ce69
conventional	ce74	7	4	4	0.1772	c0-27
conventional	ce75	4	1	1	-0.6261	c0-4
conventional	ce76	12	9	9	0.1717	c0-38
conventional	ce77	3	0	0	0.0	c0-30,c0-3
conventional	ce78	16	13	13	0.3625	c0-54
holistic	he62	6	2	2	-0.1755	h0-5
holistic	he63	63	59	59	1.5454	h0-28
conventional	ce79	11	7	7	0.122	c0-59
conventional	ce80	5	1	1	-0.5515	c0-7,c0-59
conventional	ce81	10	6	6	0.2435	c0-39,c0-7
conventional	ce82	63	59	59	0.5782	c0-41
conventional	ce83	19	15	15	0.3424	ce72
conventional	ce84	9	5	5	0.0764	ce65,c0-45
conventional	ce85	5	1	1	-0.618	c0-58
holistic	he64	8	3	3	-0.0008	h0-28
holistic	he65	21	16	16	0.2684	h0-55
conventional	ce86	64	59	59	0.8508	c0-39
conventional	ce87	64	59	59	0.9511	c0-38,c0-8
conventional	ce88	64	59	59	1.3604	c0-6
conventional	ce89	64	59	59	0.5358	c0-33
conventional	ce90	6	1	1	-0.4129	c0-41
conventional	ce91	6	1	1	-0.3777	c0-57
conventional	ce92	6	1	1	-0.5526	ce72
holistic	he66	13	7	7	0.1423	he63
holistic	he67	17	11	11	0.1767	h0-28,he63
conventional	ce93	8	2	2	-0.0004	c0-8
conventional	ce94	65	59	59	0.9089	c0-39
conventional	ce95	8	2	2	-0.1825	c0-54
conventional	ce96	8	2	2	-0.0568	c0-43,ce72
conventional	ce97	65	59	59	0.5787	c0-12,c0-4
holistic	he68	14	7	7	0.1365	he63
conventional	ce98	8	1	1	-0.5351	c0-12
conventional	ce99	8	1	1	-0.5629	c0-57
conventional	ce100	66	59	59	0.5627	c0-58,c0-35
holistic	he69	11	3	3	0.0	he63
holistic	he70	11	3	3	-0.0341	h0-55
conventional	ce101	8	0	0	0.0	c0-16
conventional	ce102	10	2	2	-0.187	c0-38
conventional	ce103	11	3	3	0.1474	c0-39
holistic	he71	12	3	3	-0.0101	he63
holistic	he72	12	3	3	-0.0002	h0-28
conventional	ce104	10	1	1	-0.5688	c0-6
conventional	ce105	32	23	23	0.2265	c0-41
conventional	ce106	23	14	14	0.2749	ce83
conventional	ce107	10	1	1	-0.4761	c0-30
conventional	ce108	14	5	5	0.1418	c0-38,c0-45
conventional	ce109	12	3	3	-0.0748	c0-16
conventional	ce110	12	3	3	0.236	ce97,c0-3
conventional	ce111	68	59	59	0.7791	c0-8,c0-3
conventional	ce112	9	0	0	0.0	c0-54
conventional	ce113	11	2	2	-0.0939	c0-15
conventional	ce114	13	4	4	0.0972	c0-45
conventional	ce115	10	1	1	-0.5248	c0-39,c0-8
holistic	he73	69	59	59	0.8003	he63,h0-28
holistic	he74	69	59	59	0.8991	h0-28
conventional	ce116	69	59	59	0.8214	c0-39
conventional	ce117	11	1	1	-0.361	c0-45
conventional	ce118	11	1	1	-0.5643	c0-44
conventional	ce119	69	59	59	0.8768	c0-6
conventional	ce120	69	59	59	0.5846	c0-30
holistic	he75	18	7	7	0.1368	he63
conventional	ce121	70	59	59	0.9606	c0-17
conventional	ce122	70	59	59	0.896	ce78
conventional	ce123	14	3	3	0.0039	c0-54
conventional	ce124	13	2	2	-0.1327	c0-35
conventional	ce125	17	6	6	0.167	ce87
conventional	ce126	18	7	7	0.1755	c0-45
conventional	ce127	70	59	59	1.2959	ce62
conventional	ce128	70	59	59	0.5664	c0-12
holistic	he76	15	3	3	-0.0195	h0-28
holistic	he77	15	3	3	0.0	h0-55,he63
holistic	he78	15	3	3	-0.0035	he63
conventional	ce129	14	2	2	-0.206	ce78,c0-33
conventional	ce130	71	59	59	0.3203	ce128
conventional	ce131	25	13	13	0.2206	c0-35
conventional	ce132	15	3	3	0.21	c0-8
conventional	ce133	14	2	2	-0.0431	c0-3,ce78
holistic	he79	16	3	3	-0.0003	h0-28
conventional	ce134	18	5	5	0.0809	ce87
conventional	ce135	14	1	1	-0.5517	ce63
conventional	ce136	14	1	1	-0.5684	c0-38,c0-1
conventional	ce137	72	59	59	1.014	c0-3
holistic	he80	73	59	59	1.0827	h0-28
conventional	ce138	73	59	59	0.6098	c0-1
conventional	ce139	18	4	4	0.1686	c0-15
holistic	he81	18	3	3	0.0	he74
holistic	he82	18	3	3	-0.0005	h0-28
holistic	he83	74	59	59	0.6686	he65
conventional	ce140	18	3	3	0.055	c0-54
conventional	ce141	19	4	4	0.1399	ce83
conventional	ce142	74	59	59	0.9901	ce128
conventional	ce143	24	9	9	0.1802	ce97,c0-38
conventional	ce144	17	2	2	-0.0586	c0-43
conventional	ce145	35	20	20	0.2613	ce63,c0-33
conventional	ce146	16	1	1	-0.4578	ce87
conventional	ce147	74	59	59	0.5953	c0-45
holistic	he84	75	59	59	1.7025	he63
holistic	he85	69	53	53	0.2723	he80,he73
holistic	he86	19	3	3	-0.0066	he73,h0-28
holistic	he87	19	3	3	-0.0	h0-28
conventional	ce148	75	59	59	0.5902	ce88,c0-54
conventional	ce149	75	59	59	0.8474	ce62,ce89
conventional	ce150	20	4	4	0.1675	ce128,c0-26
conventional	ce151	18	2	2	0.0567	ce121
holistic	he88	20	3	3	-0.0018	he80
holistic	he89	76	59	59	0.3985	he73
holistic	he90	20	3	3	-0.0018	he63
conventional	ce152	76	59	59	0.8374	ce89
conventional	ce153	17	0	0	0.0	c0-3
conventional	ce154	76	59	59	1.1294	c0-33
holistic	he91	21	3	3	0.0	he80
holistic	he92	25	7	7	0.1422	he74,he63
holistic	he93	77	59	59	0.8713	he63,he80
conventional	ce155	77	59	59	0.7762	c0-30,ce87
conventional	ce156	19	1	1	-0.4508	c0-39
conventional	ce157	19	1	1	-0.4578	ce106
