# RBT-102 structural carriage -- /tmp/claude-0/-home-user-rabbitstew/22b19251-73cf-541e-9535-6078cbfc5dc4/scratchpad/arms/forage-3

seed 3; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1294; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
|---|---|---|---|---|
| 0 | 60 | 0 | 0.0000 | 0.0 |
| 1 | 60 | 0 | 0.0000 | 0.0 |
| 2 | 60 | 0 | 0.0000 | 0.2 |
| 3 | 60 | 0 | 0.0000 | 0.3 |
| 4 | 60 | 0 | 0.0000 | 0.3 |
| 5 | 60 | 0 | 0.0000 | 0.5 |
| 6 | 60 | 0 | 0.0000 | 0.5 |
| 7 | 60 | 0 | 0.0000 | 0.6 |
| 8 | 60 | 0 | 0.0000 | 0.6 |
| 9 | 60 | 0 | 0.0000 | 0.6 |
| 10 | 60 | 0 | 0.0000 | 0.6 |
| 11 | 60 | 0 | 0.0000 | 0.6 |
| 12 | 60 | 0 | 0.0000 | 0.7 |
| 13 | 60 | 0 | 0.0000 | 0.8 |
| 14 | 60 | 0 | 0.0000 | 0.8 |
| 15 | 60 | 0 | 0.0000 | 0.9 |
| 16 | 60 | 0 | 0.0000 | 1.0 |
| 17 | 60 | 0 | 0.0000 | 1.0 |
| 18 | 60 | 0 | 0.0000 | 1.0 |
| 19 | 60 | 0 | 0.0000 | 1.1 |
| 20 | 60 | 0 | 0.0000 | 1.1 |
| 21 | 60 | 0 | 0.0000 | 1.1 |
| 22 | 60 | 0 | 0.0000 | 1.2 |
| 23 | 60 | 0 | 0.0000 | 1.1 |
| 24 | 60 | 0 | 0.0000 | 1.1 |
| 25 | 60 | 0 | 0.0000 | 1.2 |
| 26 | 60 | 0 | 0.0000 | 1.3 |
| 27 | 60 | 0 | 0.0000 | 1.4 |
| 28 | 60 | 0 | 0.0000 | 1.3 |
| 29 | 60 | 0 | 0.0000 | 1.4 |
| 30 | 60 | 0 | 0.0000 | 1.4 |
| 31 | 60 | 0 | 0.0000 | 1.4 |
| 32 | 60 | 0 | 0.0000 | 1.4 |
| 33 | 60 | 0 | 0.0000 | 1.4 |
| 34 | 60 | 0 | 0.0000 | 1.5 |
| 35 | 60 | 0 | 0.0000 | 1.5 |
| 36 | 60 | 0 | 0.0000 | 1.6 |
| 37 | 60 | 0 | 0.0000 | 1.6 |
| 38 | 60 | 0 | 0.0000 | 1.5 |
| 39 | 60 | 0 | 0.0000 | 1.6 |
| 40 | 60 | 0 | 0.0000 | 1.6 |
| 41 | 60 | 0 | 0.0000 | 1.6 |
| 42 | 60 | 0 | 0.0000 | 1.5 |
| 43 | 60 | 0 | 0.0000 | 1.6 |
| 44 | 60 | 0 | 0.0000 | 1.6 |
| 45 | 60 | 0 | 0.0000 | 1.6 |
| 46 | 60 | 0 | 0.0000 | 1.6 |
| 47 | 60 | 0 | 0.0000 | 1.6 |
| 48 | 60 | 0 | 0.0000 | 1.6 |
| 49 | 60 | 0 | 0.0000 | 1.6 |
| 50 | 60 | 0 | 0.0000 | 1.7 |
| 51 | 60 | 0 | 0.0000 | 1.7 |
| 52 | 60 | 0 | 0.0000 | 1.8 |
| 53 | 60 | 0 | 0.0000 | 1.7 |
| 54 | 60 | 0 | 0.0000 | 1.7 |
| 55 | 60 | 0 | 0.0000 | 1.7 |
| 56 | 60 | 0 | 0.0000 | 1.7 |
| 57 | 60 | 0 | 0.0000 | 1.7 |
| 58 | 60 | 0 | 0.0000 | 1.7 |
