# RBT-102 structural carriage -- runs/RBT-90/forage-807

seed 807; state.json season 600 of 600; fauna: conventional (fixed_body 'pioneer'); window seasons 300-599
genomes saved at birth: 1174; living names without a genome: 0

## Positive control (before any number)

  20 window genomes (seed 102); installs ((1.0, 1.0), (8.0, -1.0)) (w, sign)
  installed motif detected 40 of 40; install invalid 0; bare genomes carrying 0 of 20
  positive control: PASSED

## Carriage per season (living conventional fauna)

| season | alive | carriers | fraction | mean depth |
|---|---|---|---|---|
| 0 | 60 | 0 | 0.0000 | 0.0 |
| 1 | 60 | 0 | 0.0000 | 0.1 |
| 2 | 60 | 0 | 0.0000 | 0.2 |
| 3 | 60 | 0 | 0.0000 | 0.3 |
| 4 | 60 | 0 | 0.0000 | 0.3 |
| 5 | 60 | 0 | 0.0000 | 0.4 |
| 6 | 60 | 0 | 0.0000 | 0.5 |
| 7 | 60 | 0 | 0.0000 | 0.5 |
| 8 | 60 | 0 | 0.0000 | 0.7 |
| 9 | 60 | 0 | 0.0000 | 0.7 |
| 10 | 60 | 0 | 0.0000 | 0.8 |
| 11 | 60 | 0 | 0.0000 | 0.8 |
| 12 | 60 | 0 | 0.0000 | 0.8 |
| 13 | 60 | 0 | 0.0000 | 0.8 |
| 14 | 60 | 0 | 0.0000 | 0.9 |
| 15 | 60 | 0 | 0.0000 | 1.0 |
| 16 | 60 | 0 | 0.0000 | 1.0 |
| 17 | 60 | 0 | 0.0000 | 1.0 |
| 18 | 60 | 0 | 0.0000 | 1.0 |
| 19 | 60 | 0 | 0.0000 | 1.0 |
| 20 | 60 | 0 | 0.0000 | 1.0 |
| 21 | 60 | 0 | 0.0000 | 1.1 |
| 22 | 60 | 0 | 0.0000 | 1.1 |
| 23 | 60 | 0 | 0.0000 | 1.1 |
| 24 | 60 | 0 | 0.0000 | 1.1 |
| 25 | 60 | 0 | 0.0000 | 1.1 |
| 26 | 60 | 0 | 0.0000 | 1.1 |
| 27 | 60 | 0 | 0.0000 | 1.1 |
| 28 | 60 | 0 | 0.0000 | 1.1 |
| 29 | 60 | 0 | 0.0000 | 1.2 |
| 30 | 60 | 0 | 0.0000 | 1.2 |
| 31 | 60 | 0 | 0.0000 | 1.2 |
| 32 | 60 | 0 | 0.0000 | 1.2 |
| 33 | 60 | 0 | 0.0000 | 1.2 |
| 34 | 60 | 0 | 0.0000 | 1.2 |
| 35 | 60 | 0 | 0.0000 | 1.2 |
| 36 | 60 | 0 | 0.0000 | 1.3 |
| 37 | 60 | 0 | 0.0000 | 1.4 |
| 38 | 60 | 0 | 0.0000 | 1.4 |
| 39 | 60 | 0 | 0.0000 | 1.4 |
| 40 | 60 | 0 | 0.0000 | 1.4 |
| 41 | 60 | 0 | 0.0000 | 1.4 |
| 42 | 60 | 0 | 0.0000 | 1.4 |
| 43 | 60 | 0 | 0.0000 | 1.4 |
| 44 | 60 | 0 | 0.0000 | 1.4 |
| 45 | 60 | 0 | 0.0000 | 1.4 |
| 46 | 60 | 0 | 0.0000 | 1.4 |
| 47 | 60 | 0 | 0.0000 | 1.4 |
| 48 | 60 | 0 | 0.0000 | 1.4 |
| 49 | 60 | 0 | 0.0000 | 1.4 |
| 50 | 60 | 0 | 0.0000 | 1.4 |
| 51 | 60 | 0 | 0.0000 | 1.5 |
| 52 | 60 | 0 | 0.0000 | 1.5 |
| 53 | 60 | 0 | 0.0000 | 1.6 |
| 54 | 60 | 0 | 0.0000 | 1.6 |
| 55 | 60 | 0 | 0.0000 | 1.6 |
| 56 | 60 | 0 | 0.0000 | 1.6 |
| 57 | 60 | 0 | 0.0000 | 1.6 |
| 58 | 60 | 0 | 0.0000 | 1.7 |
| 59 | 60 | 0 | 0.0000 | 1.7 |
