# RBT-101 positive-control table, seed 804: C0 alive at 359, P alive at 520; from runs/RBT-90/forage-804 as restored from ckpt/rbt-90-804 at 603a417d21 (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he596	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he597	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he598	0.349302	0.349302	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he599	0.000000	0.000000	-	-	-	-	-	-	-	-	3	0.000000	0.000000	0
C0	holistic	he600	0.588214	0.588214	-	-	-	-	-	-	-	-	9	4.760228	0.000000	0
C0	holistic	he601	0.349302	0.349302	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he602	1.292923	12.573905	-	-	-	-	-	-	-	-	12	2.192390	0.000000	0
C0	holistic	he604	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he605	0.588214	0.588214	-	-	-	-	-	-	-	-	9	4.760228	0.000000	0
C0	holistic	he606	0.174651	0.174651	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he608	1.399510	1.399510	-	-	-	-	-	-	-	-	4	0.894154	0.000000	0
C0	holistic	he611	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he612	0.588214	0.588214	-	-	-	-	-	-	-	-	6	7.184512	0.000000	0
C0	holistic	he614	0.000000	0.000000	-	-	-	-	-	-	-	-	2	0.000000	2.465148	0
C0	holistic	he615	0.750129	2.219661	-	-	-	-	-	-	-	-	12	1.591757	0.000000	0
C0	holistic	he617	1.594074	3.644939	-	-	-	-	-	-	-	-	6	2.380114	0.000000	0
C0	holistic	he618	0.588214	0.588214	-	-	-	-	-	-	-	-	9	3.709714	0.000000	0
C0	holistic	he619	0.588214	0.379206	-	-	-	-	-	-	-	-	13	6.177574	0.000000	0
C0	holistic	he620	0.271770	0.271770	-	-	-	-	-	-	-	-	6	3.869866	0.000000	0
C0	holistic	he621	2.127632	2.127632	-	-	-	-	-	-	-	-	13	4.760228	0.000000	0
C0	holistic	he622	0.092625	0.092625	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he623	0.667121	9.933172	-	-	-	-	-	-	-	-	14	3.704402	0.000000	0
C0	holistic	he624	0.160134	0.160134	-	-	-	-	-	-	-	-	6	1.096195	0.000000	0
C0	holistic	he628	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he630	1.594074	3.644939	-	-	-	-	-	-	-	-	6	2.380114	0.000000	0
C0	holistic	he632	2.812900	2.812900	-	-	-	-	-	-	-	-	6	7.255006	0.000000	0
C0	holistic	he633	1.195796	1.195796	-	-	-	-	-	-	-	-	9	5.199904	0.000000	0
C0	holistic	he634	2.844712	5.544839	-	-	-	-	-	-	-	-	6	2.879130	0.000000	0
C0	holistic	he635	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he636	0.000000	0.000000	-	-	-	-	-	-	-	-	0	0.000000	0.000000	0
C0	holistic	he638	0.349302	0.349302	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he640	0.061750	0.061750	-	-	-	-	-	-	-	-	12	0.000000	0.000000	0
C0	holistic	he642	3.140868	8.315861	-	-	-	-	-	-	-	-	6	3.319227	0.000000	0
C0	holistic	he645	1.594074	3.563086	-	-	-	-	-	-	-	-	6	2.380114	0.000000	0
C0	holistic	he646	1.399510	1.399510	-	-	-	-	-	-	-	-	4	0.894154	0.000000	0
C0	holistic	he648	3.336309	6.195781	-	-	-	-	-	-	-	-	6	2.879130	0.000000	0
C0	holistic	he649	8.534136	16.634517	-	-	-	-	-	-	-	-	15	8.637390	0.000000	0
C0	holistic	he650	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he652	0.092625	0.092625	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he653	0.689406	0.689406	-	-	-	-	-	-	-	-	9	4.800710	0.000000	0
C0	holistic	he654	0.349302	0.349302	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he655	0.349302	0.349302	-	-	-	-	-	-	-	-	9	0.000000	0.000000	0
C0	holistic	he657	0.588214	0.588214	-	-	-	-	-	-	-	-	6	6.573490	0.000000	0
C0	holistic	he658	2.374500	8.249595	-	-	-	-	-	-	-	-	15	0.000000	0.000000	0
C0	holistic	he659	2.967468	5.219632	-	-	-	-	-	-	-	-	6	2.879130	0.000000	0
C0	holistic	he660	2.815866	4.866731	-	-	-	-	-	-	-	-	6	2.380114	0.000000	0
C0	holistic	he661	0.882321	0.882321	-	-	-	-	-	-	-	-	9	7.140342	0.000000	0
C0	holistic	he662	3.336309	5.180077	-	-	-	-	-	-	-	-	6	2.879130	0.000000	0
C0	holistic	he666	0.271464	0.271464	-	-	-	-	-	-	-	-	6	3.973386	0.000000	0
C0	holistic	he667	0.000000	0.000000	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he668	0.989109	0.989109	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he671	0.047400	0.047400	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
