population	name	born	g1	g2	n1	n2	ns	g2_contact	g2_height	g2_up	g2_joint	g1_other	g1_vel
holistic	h0-0	-17	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-1	-34	0	0.074608	0	2	3	0	0.074608	0	0	0	0
holistic	h0-2	-12	0.435461	1.478089	1	2	1	0	1.478089	0	0	0	0
holistic	h0-3	-38	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-4	-15	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-5	-21	0.490328	7.500102	1	6	6	0	0	7.500102	0	0.316330	0
holistic	h0-6	-54	0.615406	0.615406	1	1	1	0	0	0	0.615406	0	0
holistic	h0-7	-27	0.679615	3.661271	1	2	3	0	0	0	3.661271	0	0
holistic	h0-8	-46	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-9	-49	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-10	-53	0	2.928828	0	2	2	0	0	0	2.928828	0	0
holistic	h0-11	-55	4.963614	64.778600	4	44	10	0	0	40.990774	23.787826	0	0
holistic	h0-12	-30	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-13	-58	0.005074	0.380411	1	2	1	0	0	0	0.380411	0	0
holistic	h0-14	-34	0	0	0	0	2	0	0	0	0	0.223046	0
holistic	h0-15	-27	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-16	-5	1.579288	2.087918	1	2	2	2.000154	0	0	0.087764	0	0
holistic	h0-17	-16	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-18	-10	0	0	0	0	4	0	0	0	0	0	0
holistic	h0-19	-2	0	0	0	0	2	0	0	0	0	0	0
holistic	h0-20	-42	2.691522	23.570793	3	33	6	0	5.037846	0	18.532947	0	1.929747
holistic	h0-21	-20	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-22	-27	0	0	0	0	10	0	0	0	0	0	0
holistic	h0-23	-55	0	0	0	0	0	0	0	0	0	0	5.975260
holistic	h0-24	-43	0	0	0	0	0	0	0	0	0	0	0.820386
holistic	h0-25	-38	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-26	-52	1.650350	5.840754	2	4	3	0	3.457669	0	2.383085	0	0
holistic	h0-27	-51	1.483855	2.009895	1	1	8	0	0	0	2.009895	0	0
holistic	h0-28	-55	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-29	-48	0.204550	2.775862	2	6	10	0	2.571312	0	0.204550	0	0
holistic	h0-30	-18	1.412649	4.739473	3	6	5	0	0	4.739473	0	0	0
holistic	h0-31	-53	0	5.425512	0	8	4	0	5.425512	0	0	1.910414	0.227092
holistic	h0-32	-42	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-33	-50	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-34	-3	2.522536	6.611814	3	4	4	0	2.440168	4.171646	0	0	0
holistic	h0-35	-7	0.959792	0.894412	4	4	7	0.894412	0	0	0	0	0
holistic	h0-36	-17	0.468098	0.927241	1	1	3	0.927241	0	0	0	0	0
holistic	h0-37	-34	1.396220	3.988558	2	6	2	0	0	0	3.988558	0	0
holistic	h0-38	-25	0	38.978232	0	32	8	7.786056	13.848012	0	17.344164	0	0
holistic	h0-39	-24	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-40	-5	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-41	-32	3.747504	38.940932	6	46	18	0	0	7.974968	30.965964	0.505542	0
holistic	h0-42	-3	0	0.495975	0	2	3	0.495975	0	0	0	1.100152	0
holistic	h0-43	-17	0	0	0	0	3	0	0	0	0	0	0
holistic	h0-44	-29	0	1.548189	0	3	1	0	1.548189	0	0	0	0
holistic	h0-45	-17	0	0.309983	0	5	8	0	0	0.250721	0.059262	0.591429	0
holistic	h0-46	-26	0	0	0	0	0	0	0	0	0	0	0.603555
holistic	h0-47	-4	0.614514	4.215420	2	2	2	0	4.215420	0	0	0	0
holistic	h0-48	-58	1.621794	3.654947	2	4	2	1.275221	0	0	2.379726	0	0
holistic	h0-49	-9	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-50	-39	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-51	-15	0	0	0	0	0	0	0	0	0	0	0
holistic	h0-52	-54	0	7.861984	0	10	5	0	7.015380	0	0.846604	0	0
holistic	h0-53	-4	0	0	0	0	1	0	0	0	0	0	0
holistic	h0-54	-4	10.813360	19.439977	9	13	6	4.742587	14.503194	0	0.194196	0.636570	0
holistic	h0-55	-3	2.042415	6.241356	1	2	2	0	0	0	6.241356	0.393612	0
holistic	h0-56	-40	0	4.305834	0	12	9	0	0	4.305834	0	1.391492	0
holistic	h0-57	-19	0	0.337732	0	2	4	0	0.337732	0	0	0	0
holistic	h0-58	-17	2.455158	2.283748	4	5	8	0	0.064564	2.219184	0	0	0
holistic	h0-59	-47	3.606222	72.499362	6	72	6	0	0	0	72.499362	0	0
conventional	c0-0	-58	0	13.536579	0	14	7	1.923169	2.024074	6.887126	2.702210	0	0
conventional	c0-2	-55	0	26.074183	0	14	7	2.536920	1.263365	10.654904	11.618994	0	0
