# RBT-101 positive-control table, seed 801: C0 alive at 369, P alive at 530; from runs/RBT-90/forage-801 as restored from ckpt/rbt-90-801 at a2fca59344 (600/600 seasons; lineage and genomes only)
role	population	name	g1	g2	installable	g1_w1	g2_w1	g1_w05	g2_w05	probe_off	probe_on	c0_ancestors	ns	g1_other	g1_vel	depth
C0	holistic	he684	0.428098	0.456592	-	-	-	-	-	-	-	-	9	0.361609	0.000000	0
C0	holistic	he685	0.048500	0.048500	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he689	0.160643	0.958528	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he692	2.128036	3.031854	-	-	-	-	-	-	-	-	6	0.000000	0.000000	0
C0	holistic	he693	1.429380	1.429380	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he694	0.000000	0.000000	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he695	1.486150	1.831746	-	-	-	-	-	-	-	-	5	0.429331	0.000000	0
C0	holistic	he698	0.000000	0.000000	-	-	-	-	-	-	-	-	11	0.000000	4.079058	0
C0	holistic	he699	1.371133	1.371133	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he702	2.363444	2.672062	-	-	-	-	-	-	-	-	10	0.000000	0.000000	0
C0	holistic	he704	0.567810	52.145214	-	-	-	-	-	-	-	-	12	0.000000	0.000000	0
C0	holistic	he705	0.783336	1.066172	-	-	-	-	-	-	-	-	5	0.526053	0.000000	0
C0	holistic	he706	0.428098	0.937542	-	-	-	-	-	-	-	-	5	0.352642	0.000000	0
C0	holistic	he711	4.969585	7.143351	-	-	-	-	-	-	-	-	22	0.000000	0.000000	0
C0	holistic	he712	0.000000	0.000000	-	-	-	-	-	-	-	-	4	0.000000	0.000000	0
C0	holistic	he713	0.396348	0.820136	-	-	-	-	-	-	-	-	8	0.705205	0.000000	0
C0	holistic	he714	1.358407	1.606532	-	-	-	-	-	-	-	-	5	1.252736	0.000000	0
C0	holistic	he716	1.429380	1.429380	-	-	-	-	-	-	-	-	5	0.000000	0.000000	0
C0	holistic	he717	0.000000	0.000000	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he719	0.160643	0.958528	-	-	-	-	-	-	-	-	8	0.000000	0.000000	0
C0	holistic	he720	0.593094	2.188864	-	-	-	-	-	-	-	-	12	0.000000	0.000000	0
