population	name	born	body
holistic	h0-0	-55	7fb7e1023256
holistic	h0-1	-44	83cd6af7a56b
holistic	h0-2	-53	0d73cbe823c5
holistic	h0-3	-27	b6044d7bb04e
holistic	h0-4	-45	3ec00f2e779d
holistic	h0-5	-48	bd721072d99b
holistic	h0-6	-25	c8ed831e1add
holistic	h0-7	-47	7b1724ef79a5
holistic	h0-8	-7	ab4b357ad9c5
holistic	h0-9	-57	814ee152ac0e
holistic	h0-10	-37	f3d2868bf9a9
holistic	h0-11	-22	a074f7a3b470
holistic	h0-12	-4	77bcf77b50c1
holistic	h0-13	-48	588f488ff74e
holistic	h0-14	-11	684f3339f9d9
holistic	h0-15	-51	4f44c0ad463b
holistic	h0-16	-34	1ef56eb83684
holistic	h0-17	-44	833dc9ca848f
holistic	h0-18	-37	c5c76f4e95c8
holistic	h0-19	-49	6e2e932acb94
holistic	h0-20	-55	630cedcc2c41
holistic	h0-21	-26	1ee7f0685da8
holistic	h0-22	-5	32a39683f6f0
holistic	h0-23	-10	eabd86d103f0
holistic	h0-24	-13	534b464dafec
holistic	h0-25	-21	3c026c759ba5
holistic	h0-26	-17	cad146cba288
holistic	h0-27	-14	e51647de8cf6
holistic	h0-28	-5	3af8f2b27245
holistic	h0-29	-2	0a93cd91cb59
holistic	h0-30	-54	898293a7d919
holistic	h0-31	-2	91b6b36594e1
holistic	h0-32	-55	7f73bf95df28
holistic	h0-33	-54	57fdbd89a8e3
holistic	h0-34	-26	beaf75b5df44
holistic	h0-35	-42	96188945f542
holistic	h0-36	-50	5dc7ed8ce07a
holistic	h0-37	-29	e768da68553f
holistic	h0-38	-15	a6238ee0b1e3
holistic	h0-39	-38	5855f1bd4b5a
holistic	h0-40	-28	b3f6ed23cdd5
holistic	h0-41	-35	c336f9244ab4
holistic	h0-42	-25	159965dc5e03
holistic	h0-43	-56	19c6042fe246
holistic	h0-44	-10	eae5f4af6584
holistic	h0-45	-39	830f2286bae7
holistic	h0-46	-16	f54afc43cbaf
holistic	h0-47	-34	53080aef64d6
holistic	h0-48	-55	7fc3d9edff19
holistic	h0-49	-11	179f87f00f3f
holistic	h0-50	-56	7b4586cf6604
holistic	h0-51	-41	dbf10f764be5
holistic	h0-52	-23	31e3a8fcba5d
holistic	h0-53	-26	ef8274c3e9b9
holistic	h0-54	-54	e81c50bb0ffa
holistic	h0-55	-37	24a97c306120
holistic	h0-56	-18	6108bb0754f4
holistic	h0-57	-36	c8660e642c8b
holistic	h0-58	-18	0dbab50398db
holistic	h0-59	-42	7ac5d9244a4d
conventional	c0-0	-58	064cde1b95c2
conventional	c0-1	-22	064cde1b95c2
conventional	c0-2	-46	064cde1b95c2
conventional	c0-3	-6	064cde1b95c2
conventional	c0-4	-26	064cde1b95c2
conventional	c0-5	-17	064cde1b95c2
conventional	c0-6	-6	064cde1b95c2
conventional	c0-7	-55	064cde1b95c2
conventional	c0-8	-43	064cde1b95c2
conventional	c0-9	-50	064cde1b95c2
conventional	c0-10	-36	064cde1b95c2
conventional	c0-11	-44	064cde1b95c2
conventional	c0-12	-44	064cde1b95c2
conventional	c0-13	-14	064cde1b95c2
conventional	c0-14	-51	064cde1b95c2
conventional	c0-15	-8	064cde1b95c2
conventional	c0-16	-38	064cde1b95c2
conventional	c0-17	-26	064cde1b95c2
conventional	c0-18	-46	064cde1b95c2
conventional	c0-19	-28	064cde1b95c2
conventional	c0-20	-19	064cde1b95c2
conventional	c0-21	-59	064cde1b95c2
conventional	c0-22	-57	064cde1b95c2
conventional	c0-23	-13	064cde1b95c2
conventional	c0-24	-49	064cde1b95c2
conventional	c0-25	-40	064cde1b95c2
conventional	c0-26	-25	064cde1b95c2
conventional	c0-27	-55	064cde1b95c2
conventional	c0-28	-42	064cde1b95c2
conventional	c0-29	-38	064cde1b95c2
conventional	c0-30	-3	064cde1b95c2
conventional	c0-31	-52	064cde1b95c2
conventional	c0-32	-44	064cde1b95c2
conventional	c0-33	-27	064cde1b95c2
conventional	c0-34	-16	064cde1b95c2
conventional	c0-35	-45	064cde1b95c2
conventional	c0-36	-59	064cde1b95c2
conventional	c0-37	-45	064cde1b95c2
conventional	c0-38	-44	064cde1b95c2
conventional	c0-39	-29	064cde1b95c2
conventional	c0-40	-12	064cde1b95c2
conventional	c0-41	-15	064cde1b95c2
conventional	c0-42	-23	064cde1b95c2
conventional	c0-43	-33	064cde1b95c2
conventional	c0-44	-16	064cde1b95c2
conventional	c0-45	-44	064cde1b95c2
conventional	c0-46	-57	064cde1b95c2
conventional	c0-47	-41	064cde1b95c2
conventional	c0-48	-39	064cde1b95c2
conventional	c0-49	-50	064cde1b95c2
conventional	c0-50	-22	064cde1b95c2
conventional	c0-51	-42	064cde1b95c2
conventional	c0-52	-31	064cde1b95c2
conventional	c0-53	-56	064cde1b95c2
conventional	c0-54	-12	064cde1b95c2
conventional	c0-55	-15	064cde1b95c2
conventional	c0-56	-21	064cde1b95c2
conventional	c0-57	-24	064cde1b95c2
conventional	c0-58	-52	064cde1b95c2
conventional	c0-59	-42	064cde1b95c2
conventional	ce61	1	064cde1b95c2
conventional	ce62	1	064cde1b95c2
conventional	ce63	2	064cde1b95c2
conventional	ce64	2	064cde1b95c2
conventional	ce65	2	064cde1b95c2
conventional	ce66	2	064cde1b95c2
conventional	ce67	2	064cde1b95c2
holistic	he61	3	c1ccbe3c7f9b
conventional	ce68	3	064cde1b95c2
conventional	ce69	3	064cde1b95c2
conventional	ce70	3	064cde1b95c2
conventional	ce71	3	064cde1b95c2
conventional	ce72	3	064cde1b95c2
conventional	ce73	3	064cde1b95c2
holistic	he62	4	e3b39a31077d
conventional	ce74	4	064cde1b95c2
conventional	ce75	4	064cde1b95c2
conventional	ce76	4	064cde1b95c2
conventional	ce77	4	064cde1b95c2
conventional	ce78	4	064cde1b95c2
conventional	ce79	4	064cde1b95c2
conventional	ce80	5	064cde1b95c2
conventional	ce81	5	064cde1b95c2
conventional	ce82	5	064cde1b95c2
conventional	ce83	5	064cde1b95c2
conventional	ce84	6	064cde1b95c2
conventional	ce85	6	064cde1b95c2
conventional	ce86	7	064cde1b95c2
conventional	ce87	7	064cde1b95c2
conventional	ce88	7	064cde1b95c2
conventional	ce89	7	064cde1b95c2
conventional	ce90	7	064cde1b95c2
conventional	ce91	8	064cde1b95c2
conventional	ce92	8	064cde1b95c2
conventional	ce93	8	064cde1b95c2
conventional	ce94	9	064cde1b95c2
conventional	ce95	9	064cde1b95c2
conventional	ce96	10	064cde1b95c2
conventional	ce97	12	064cde1b95c2
