season	population	alive	energy_head	ran	starved	aged	net_survivors	net_all_ub	food	work
0	holistic	60	2.7467	60	0	0	-0.0033	-0.0033	0.0167	0.0200
0	conventional	60	2.9446	60	0	0	0.1946	0.1946	0.7667	0.5721
1	holistic	60	2.5287	60	0	0	0.0321	0.0321	0.0500	0.0179
1	conventional	60	2.8883	58	0	2	0.2695	0.2695	0.8621	0.5926
2	holistic	60	2.2934	60	0	0	0.0147	0.0147	0.0333	0.0187
2	conventional	60	2.7297	53	6	1	0.1686	0.1012	0.7170	0.5484
3	holistic	60	2.0415	59	0	1	0.0484	0.0484	0.0678	0.0194
3	conventional	60	2.6960	51	7	2	0.4300	0.3436	0.9608	0.5308
4	holistic	60	1.7774	58	0	2	0.0457	0.0457	0.0690	0.0232
4	conventional	60	2.7809	53	7	0	0.4084	0.3348	0.9434	0.5350
5	holistic	57	1.5425	55	1	4	0.0362	0.0355	0.0545	0.0184
5	conventional	60	2.7271	53	5	2	0.3804	0.3457	0.9057	0.5252
6	holistic	55	1.3547	53	1	3	0.0834	0.0778	0.0943	0.0109
6	conventional	60	2.7282	55	5	0	0.2909	0.2511	0.8000	0.5091
7	holistic	53	1.2344	52	2	1	0.1069	0.1048	0.1154	0.0085
7	conventional	60	2.9440	57	3	0	0.4931	0.4658	1.0000	0.5069
8	holistic	55	0.9928	53	0	0	0.0459	0.0459	0.0566	0.0107
8	conventional	60	2.6873	57	2	1	0.0787	0.0681	0.5789	0.5002
9	holistic	55	0.7946	53	1	1	0.0624	0.0613	0.0755	0.0130
9	conventional	60	2.4588	48	11	1	0.0920	0.0558	0.6042	0.5122
10	holistic	54	0.6396	52	2	1	0.0886	0.0896	0.0962	0.0075
10	conventional	60	2.7919	55	4	1	0.6495	0.5927	1.1273	0.4778
11	holistic	19	1.2264	18	35	1	0.0801	0.0427	0.1111	0.0310
11	conventional	60	3.0427	52	7	1	0.6930	0.5926	1.1731	0.4801
12	holistic	19	1.0056	16	2	1	0.1079	0.1016	0.1250	0.0171
12	conventional	60	3.3319	55	5	0	0.5961	0.5392	1.0727	0.4766
13	holistic	17	1.1380	16	3	0	0.2958	0.2626	0.3125	0.0167
13	conventional	60	3.2453	56	4	0	0.1892	0.1634	0.6786	0.4893
14	holistic	16	1.1885	15	2	0	0.2518	0.2307	0.2667	0.0149
14	conventional	60	3.3663	58	2	0	0.3859	0.3710	0.8793	0.4934
15	holistic	16	1.2975	13	3	0	0.4384	0.3589	0.4615	0.0232
15	conventional	60	3.5706	52	7	1	0.5998	0.5260	1.0769	0.4771
16	holistic	17	1.4917	13	3	0	0.6562	0.5374	0.6923	0.0362
16	conventional	60	3.4602	56	1	3	0.6579	0.6353	1.1429	0.4850
17	holistic	19	1.4535	16	1	0	0.4067	0.3828	0.4375	0.0308
17	conventional	60	3.5355	57	2	1	0.3900	0.3725	0.8772	0.4872
18	holistic	21	1.4483	18	1	0	0.4162	0.3973	0.4444	0.0282
18	conventional	60	4.0820	56	3	1	0.8908	0.8263	1.3571	0.4663
19	holistic	24	1.5268	18	3	0	0.6353	0.5467	0.6667	0.0314
19	conventional	60	4.2263	53	7	0	0.4721	0.3943	0.9434	0.4713
20	holistic	27	1.3689	22	2	0	0.2863	0.2632	0.3182	0.0319
20	conventional	60	4.3692	56	4	0	0.4305	0.3929	0.9107	0.4802
21	holistic	31	1.6299	25	2	0	0.8122	0.7524	0.8400	0.0278
21	conventional	60	4.6734	56	4	0	0.6096	0.5542	1.0893	0.4797
22	holistic	36	1.9420	29	2	0	0.9372	0.8753	0.9655	0.0283
22	conventional	60	5.3353	58	1	1	0.9757	0.9604	1.4655	0.4899
23	holistic	40	1.6737	31	4	1	0.2296	0.2060	0.2581	0.0284
23	conventional	60	5.5112	58	2	0	0.4455	0.4259	0.9310	0.4855
24	holistic	52	1.9750	38	2	0	1.2040	1.1439	1.2368	0.0328
24	conventional	60	6.2089	56	4	0	1.0190	0.9477	1.5179	0.4988
25	holistic	60	1.9301	49	3	0	0.5323	0.5020	0.5714	0.0392
25	conventional	60	6.5359	57	3	0	0.6137	0.5769	1.1053	0.4915
26	holistic	60	1.9135	55	5	0	0.2529	0.2334	0.2909	0.0380
26	conventional	60	6.8081	56	4	0	0.5757	0.5222	1.0536	0.4779
27	holistic	60	2.3263	53	7	0	0.7410	0.6628	0.7736	0.0326
27	conventional	60	7.4507	57	2	1	1.0087	0.9602	1.4912	0.4825
28	holistic	60	2.7043	54	6	0	0.6881	0.6280	0.7222	0.0341
28	conventional	60	7.5808	59	1	0	0.3876	0.3802	0.8644	0.4768
29	holistic	60	3.0441	53	7	0	0.6652	0.5898	0.6981	0.0329
29	conventional	60	7.9803	56	4	0	0.6883	0.6495	1.1786	0.4902
30	holistic	60	3.1298	58	2	0	0.3483	0.3357	0.3793	0.0310
30	conventional	60	7.8380	58	2	0	0.1084	0.1077	0.5862	0.4778
31	holistic	60	3.3197	55	5	0	0.4776	0.4399	0.5091	0.0315
31	conventional	60	7.7032	57	2	1	0.4718	0.4588	0.9649	0.4931
32	holistic	60	3.8570	55	5	0	0.8567	0.7873	0.8909	0.0343
32	conventional	60	8.1924	59	1	0	0.7506	0.7392	1.2373	0.4867
33	holistic	60	4.0989	52	8	0	0.5629	0.4919	0.5962	0.0333
33	conventional	60	8.7925	57	2	1	0.9892	0.9517	1.4737	0.4844
34	holistic	60	4.7300	60	0	0	0.8811	0.8811	0.9167	0.0356
34	conventional	60	9.0509	57	2	1	0.6178	0.5943	1.1053	0.4875
35	holistic	60	5.4956	57	3	0	1.0687	1.0156	1.1053	0.0366
35	conventional	60	9.2867	57	2	1	0.7321	0.7080	1.2281	0.4959
36	holistic	60	5.8634	57	3	0	0.6500	0.6178	0.6842	0.0343
36	conventional	60	10.0632	59	1	0	1.0435	1.0265	1.5254	0.4819
37	holistic	60	6.3167	56	4	0	0.7490	0.7033	0.7857	0.0367
37	conventional	60	10.8003	58	2	0	1.0252	0.9871	1.5172	0.4920
38	holistic	60	6.9137	60	0	0	0.8470	0.8470	0.8833	0.0363
38	conventional	60	11.0588	58	1	1	0.8472	0.8320	1.3276	0.4804
39	holistic	60	7.8131	58	2	0	1.1874	1.1494	1.2241	0.0367
39	conventional	60	11.5161	60	0	0	0.7073	0.7073	1.2000	0.4927
40	holistic	60	8.2473	58	2	0	0.7054	0.6843	0.7414	0.0360
40	conventional	60	11.9752	60	0	0	0.7092	0.7092	1.2167	0.5075
41	holistic	60	8.8798	58	2	0	0.9128	0.8824	0.9483	0.0355
41	conventional	60	12.3554	59	1	0	0.6500	0.6301	1.1525	0.5026
42	holistic	60	9.6890	60	0	0	1.0592	1.0592	1.1000	0.0408
42	conventional	60	13.0556	60	0	0	0.9502	0.9502	1.4500	0.4998
43	holistic	60	10.3183	59	1	0	0.8939	0.8793	0.9322	0.0383
43	conventional	60	13.2664	59	1	0	0.4797	0.4608	0.9661	0.4864
44	holistic	60	10.6678	58	2	0	0.6208	0.5995	0.6552	0.0344
44	conventional	60	13.8386	58	1	1	0.8602	0.8468	1.3621	0.5018
45	holistic	60	11.2015	58	2	0	0.8097	0.7837	0.8448	0.0351
45	conventional	60	14.3073	60	0	0	0.7187	0.7187	1.2167	0.4980
46	holistic	60	11.9840	60	0	0	1.0326	1.0326	1.0667	0.0341
46	conventional	60	14.7682	59	1	0	0.7231	0.7109	1.2203	0.4972
47	holistic	60	12.3145	60	0	0	0.5805	0.5805	0.6167	0.0362
47	conventional	60	14.8838	60	0	0	0.3656	0.3656	0.8500	0.4844
48	holistic	60	12.6894	57	3	0	0.6524	0.6249	0.6842	0.0318
48	conventional	60	15.2021	59	0	1	0.6726	0.6726	1.1695	0.4969
49	holistic	60	13.2745	58	2	0	0.8631	0.8351	0.8966	0.0335
49	conventional	60	15.5487	60	0	0	0.5966	0.5966	1.0833	0.4867
50	holistic	60	13.6908	60	0	0	0.6663	0.6663	0.7000	0.0337
50	conventional	60	15.7342	60	0	0	0.4355	0.4355	0.9333	0.4979
51	holistic	60	14.4085	60	0	0	0.9677	0.9677	1.0000	0.0323
51	conventional	60	16.3841	60	0	0	0.8999	0.8999	1.3833	0.4835
52	holistic	60	15.4275	58	2	0	1.3082	1.2690	1.3448	0.0366
52	conventional	60	16.4486	59	0	1	0.7974	0.7974	1.2881	0.4907
53	holistic	60	16.1828	56	4	0	1.0788	1.0053	1.1071	0.0283
53	conventional	60	16.9902	60	0	0	0.7915	0.7915	1.2833	0.4918
54	holistic	60	16.6197	60	0	0	0.6869	0.6869	0.7167	0.0298
54	conventional	60	16.8712	59	0	1	0.5507	0.5507	1.0339	0.4832
55	holistic	60	16.8750	59	0	1	0.8182	0.8182	0.8475	0.0292
55	conventional	60	17.2971	60	0	0	0.6759	0.6759	1.1667	0.4907
56	holistic	60	17.2955	60	0	0	0.6705	0.6705	0.7000	0.0295
56	conventional	60	17.6086	59	1	0	0.5671	0.5616	1.0678	0.5007
57	holistic	60	17.8140	57	3	0	0.8085	0.7686	0.8421	0.0336
57	conventional	60	17.4586	58	1	1	0.6481	0.6408	1.1379	0.4898
58	holistic	60	18.3166	59	1	0	0.7652	0.7526	0.7966	0.0314
58	conventional	60	17.6788	59	1	0	0.4769	0.4703	0.9661	0.4892
59	holistic	60	19.1373	59	1	0	1.0888	1.0707	1.1186	0.0299
59	conventional	60	18.3082	58	2	0	0.9053	0.8794	1.3966	0.4913
60	holistic	60	19.7830	56	4	0	0.9503	0.8956	0.9821	0.0318
60	conventional	60	18.8481	60	0	0	0.7899	0.7899	1.2667	0.4768
61	holistic	60	20.5336	59	1	0	1.0172	1.0007	1.0508	0.0337
61	conventional	60	18.5315	59	0	1	0.7034	0.7034	1.1864	0.4830
62	holistic	60	21.3345	60	0	0	1.0508	1.0508	1.0833	0.0325
62	conventional	60	19.0500	59	0	1	0.9304	0.9304	1.4237	0.4933
63	holistic	60	21.8685	60	0	0	0.7840	0.7840	0.8167	0.0327
63	conventional	60	19.1505	59	1	0	0.3527	0.3505	0.8305	0.4778
64	holistic	60	21.7346	57	2	1	1.1778	1.1380	1.2105	0.0327
64	conventional	60	19.4138	58	1	1	0.8626	0.8460	1.3448	0.4822
65	holistic	60	22.4364	59	1	0	0.9680	0.9518	1.0000	0.0320
65	conventional	60	17.5689	56	0	4	0.9374	0.9374	1.4286	0.4912
